"plasmid","contig","Number of matching contigs","Number of matching plasmid","V1","V2","V3","V4","V5","V6","V7"
"NZ_LLBF01000015","NZ_LLBF01000015 contig_6","2","2","NZ_LLBE01000031","NZ_LLBF01000015","-","-","-","-","-"
"NZ_LLBF01000015","NZ_LLBF01000015 contig_7","2","2","NZ_LLBE01000031","NZ_LLBF01000015","-","-","-","-","-"
"NZ_LLBF01000015","NZ_LLBF01000015 contig_8","1","1","NZ_LLBF01000015","-","-","-","-","-","-"
"NZ_LLBF01000015","NZ_LLBF01000015 contig_9","2","2","NZ_LLBE01000031","NZ_LLBF01000015","-","-","-","-","-"
"NZ_LLBF01000016","NZ_LLBF01000016 contig_1","5","4","NZ_LLBE01000024","NZ_LLBE01000033","NZ_LLBF01000016","NZ_LLBF01000036","-","-","-"
"NZ_LLBF01000016","NZ_LLBF01000016 contig_2","1","1","NZ_LLBF01000016","-","-","-","-","-","-"
"NZ_LLBF01000017","NZ_LLBF01000017 contig_1","4","3","NZ_LLBE01000031","NZ_LLBE01000049","NZ_LLBF01000017","-","-","-","-"
"NZ_LLBF01000017","NZ_LLBF01000017 contig_2","5","4","NZ_LLBE01000031","NZ_LLBE01000034","NZ_LLBE01000049","NZ_LLBF01000017","-","-","-"
"NZ_LLBF01000017","NZ_LLBF01000017 contig_3","1","1","NZ_LLBF01000017","-","-","-","-","-","-"
"NZ_LLBF01000017","NZ_LLBF01000017 contig_4","3","3","NZ_LLBE01000031","NZ_LLBF01000015","NZ_LLBF01000017","-","-","-","-"
"NZ_LLBF01000017","NZ_LLBF01000017 contig_5","5","4","NZ_LLBE01000031","NZ_LLBE01000049","NZ_LLBF01000015","NZ_LLBF01000017","-","-","-"
"NZ_LLBF01000036","NZ_LLBF01000036 contig_1","4","4","NZ_LLBE01000024","NZ_LLBE01000033","NZ_LLBF01000016","NZ_LLBF01000036","-","-","-"
